class_id,class_school,class_city,class_grade_inferred,class_total_missions,class_total_tasks,class_total_students,class_first_activity_date,class_last_activity_date,class_avg_quiz_seconds_taken,class_has_multi_week_activity,class_avg_completion_rate,class_distinct_task_names_by_id,class_peak_activity_slot
class_1,,臺北市,,1,1,147,2025-03-26 06:57:00.000000 UTC,2025-03-26 07:01:00.000000 UTC,19.236599664991600,FALSE,0.83673469387755100,四上［同分母分數的比較］,上課時間
class_2,,宜蘭縣,,1,1,131,2025-03-12 00:37:00.000000 UTC,2025-03-14 03:59:00.000000 UTC,24.635638297872300,FALSE,0.19083969465648900,三上［認識分數],上課時間
class_3,,宜蘭縣,,1,1,105,2025-03-12 00:37:00.000000 UTC,2025-03-13 03:48:00.000000 UTC,27.179419525065900,FALSE,0.36190476190476200,四上［同分母分數的比較］,上課時間
class_4,市立銘傳國中,基隆市,,1,1,100,2025-02-04 01:57:00.000000 UTC,2025-02-04 01:57:00.000000 UTC,,FALSE,0.0,三上［認識分數],無資料
class_5,Future實驗教育機構,新北市,,1,1,58,2025-02-06 06:50:00.000000 UTC,2025-02-06 06:52:00.000000 UTC,9.2189500640204900,FALSE,0.9137931034482760,三上［認識分數],上課時間
class_6,縣立大同國小,宜蘭縣,,1,1,56,2025-02-08 03:24:00.000000 UTC,2025-02-08 03:24:00.000000 UTC,17.982456140350900,FALSE,0.32142857142857100,四上［同分母分數的比較］,上課時間
class_7,市立海山國小,新北市,,1,1,52,2025-05-30 05:21:00.000000 UTC,2025-05-30 05:22:00.000000 UTC,12.5,FALSE,0.0,四上［同分母分數加減］,無資料
class_8,,花蓮縣,0,1,1,50,2025-05-13 05:41:00.000000 UTC,2025-05-13 05:41:00.000000 UTC,10.177777777777800,FALSE,0.06,三上［認識分數],上課時間
class_9,市立古亭國小,臺北市,2,1,1,44,2025-03-21 01:52:00.000000 UTC,2025-03-21 01:56:00.000000 UTC,12.505,FALSE,0.95454545454545500,三上［認識分數],上課時間
class_10,市立楊梅國小,桃園市,,1,1,41,2025-02-24 07:15:00.000000 UTC,2025-02-25 05:49:00.000000 UTC,34.635388739946400,FALSE,0.48780487804878100,四上［同分母分數的比較］,上課時間
class_11,市立中正國小,新北市,4,2,2,39,2025-04-24 04:57:00.000000 UTC,2025-04-24 05:00:00.000000 UTC,38.615853658536500,FALSE,0.3205128205128210,四上［同分母分數的比較］&四上［同分母分數加減］,上課時間
class_12,縣立員山國小,宜蘭縣,4,1,1,38,2025-05-14 08:45:00.000000 UTC,2025-05-14 08:45:00.000000 UTC,39.517241379310300,FALSE,0.18421052631578900,四上［同分母分數加減］,早自習
class_13,,新竹市,,1,1,36,2025-02-06 08:25:00.000000 UTC,2025-02-06 08:29:00.000000 UTC,18.075000000000000,FALSE,0.30555555555555600,四上［同分母分數加減］,課後輔導
class_14,市立樂善國小,桃園市,3,1,1,31,2025-02-18 16:52:00.000000 UTC,2025-02-19 01:10:00.000000 UTC,27.177570093457900,FALSE,0.967741935483871,三上［認識分數],上課時間
class_15,市立龍星國小,桃園市,5,2,2,30,2025-02-18 00:54:00.000000 UTC,2025-02-18 06:32:00.000000 UTC,34.370680628272300,FALSE,0.91666666666666600,三上［認識分數]&四上［同分母分數加減］,上課時間
class_16,縣立新生國小,宜蘭縣,3,1,1,30,2025-03-11 05:40:00.000000 UTC,2025-03-11 05:46:00.000000 UTC,28.022556390977400,FALSE,0.9000000000000000,三上［認識分數],上課時間
class_17,縣立照南國小,苗栗縣,4,2,2,29,2025-03-24 01:43:00.000000 UTC,2025-03-24 01:43:00.000000 UTC,32.169965075669400,FALSE,0.72413793103448300,四上［同分母分數的比較］&四上［同分母分數加減］,早自習
class_18,市立路竹國小,高雄市,3,1,1,29,2025-05-15 08:22:00.000000 UTC,2025-05-26 04:56:00.000000 UTC,45.035714285714300,TRUE,0.068965517241379300,三上［認識分數],上課時間
class_19,市立大勇國小,臺中市,,1,1,28,2025-02-06 03:39:00.000000 UTC,2025-02-06 03:39:00.000000 UTC,,FALSE,0.0,三上［認識分數],無資料
class_20,縣立新生國小,宜蘭縣,,1,1,28,2025-03-17 07:35:00.000000 UTC,2025-03-17 07:35:00.000000 UTC,25.950953678474100,FALSE,0.78571428571428600,三上［認識分數],上課時間
class_21,縣立竹山國小,南投縣,,1,1,28,2025-03-28 04:51:00.000000 UTC,2025-03-28 05:07:00.000000 UTC,73.650362318840700,FALSE,0.75000000000000000,五上［異分母分數的比較與加減］,上課時間
class_22,市立新甲國小,高雄市,,1,1,28,2025-04-29 04:59:00.000000 UTC,2025-04-29 05:22:00.000000 UTC,19.887179487179500,FALSE,0.92857142857142800,三上［認識分數],上課時間
class_23,,宜蘭縣,,1,1,27,2025-02-13 02:11:00.000000 UTC,2025-02-13 02:11:00.000000 UTC,88.037037037037000,FALSE,0.07407407407407410,五上［異分母分數的比較與加減］,上課時間
class_24,市立楠陽國小,高雄市,5,2,1,27,2025-02-20 06:19:00.000000 UTC,2025-02-27 08:00:00.000000 UTC,60.470938897168400,TRUE,1.0,五上［異分母分數的比較與加減］,上課時間
class_25,縣立新生國小,宜蘭縣,2,1,1,27,2025-03-11 06:30:00.000000 UTC,2025-03-11 06:30:00.000000 UTC,24.710396039603900,FALSE,0.96296296296296300,三上［認識分數],上課時間
class_26,縣立新生國小,宜蘭縣,2,1,1,27,2025-03-11 07:27:00.000000 UTC,2025-03-11 07:27:00.000000 UTC,27.460916442048500,FALSE,0.88888888888888900,三上［認識分數],上課時間
class_27,市立秀朗國小,新北市,,2,2,27,2025-03-12 07:30:00.000000 UTC,2025-03-12 07:32:00.000000 UTC,,FALSE,0.0,四上［同分母分數的比較］&五上［異分母分數的比較與加減］,無資料
class_28,市立茄萣國小,高雄市,,1,1,27,2025-03-18 02:31:00.000000 UTC,2025-03-18 02:31:00.000000 UTC,26.788321167883200,FALSE,0.81481481481481500,三上［認識分數],上課時間
class_29,市立民族國小,嘉義市,5,1,1,27,2025-03-20 13:03:00.000000 UTC,2025-03-20 13:03:00.000000 UTC,,FALSE,0.0,五上［異分母分數的比較與加減］,無資料
class_30,縣立平和國小,彰化縣,5,1,1,27,2025-03-29 10:25:00.000000 UTC,2025-03-29 10:25:00.000000 UTC,5.25,FALSE,0.0,五上［異分母分數的比較與加減］,無資料
class_31,市立楊心國小,桃園市,,1,1,27,2025-04-30 05:47:00.000000 UTC,2025-04-30 05:47:00.000000 UTC,,FALSE,0.0,三上［認識分數],無資料
class_32,市立錦和國小,新北市,6,1,1,27,2025-05-23 13:27:00.000000 UTC,2025-05-23 13:27:00.000000 UTC,,FALSE,0.0,四上［同分母分數的比較］,無資料
class_33,市立大灣國小,臺南市,4,2,2,27,2025-06-02 00:16:00.000000 UTC,2025-06-02 00:17:00.000000 UTC,35.68349514563110,FALSE,0.42592592592592600,四上［同分母分數的比較］&四上［同分母分數加減］,早自習
class_34,,桃園市,3,1,1,27,2025-06-03 04:39:00.000000 UTC,2025-06-03 04:39:00.000000 UTC,21.174358974359000,FALSE,0.96296296296296300,三上［認識分數],上課時間
class_35,市立和平國小,高雄市,4,1,1,27,2025-06-12 00:25:00.000000 UTC,2025-06-12 01:53:00.000000 UTC,35.881578947368400,FALSE,0.59259259259259300,四上［同分母分數的比較］,上課時間
class_36,,新北市,4,1,1,26,2025-02-13 06:31:00.000000 UTC,2025-02-14 00:07:00.000000 UTC,19.310256410256400,FALSE,0.96153846153846100,三上［認識分數],早自習
class_37,市立龍泉國小,臺中市,,2,1,26,2025-02-14 08:10:00.000000 UTC,2025-02-20 05:17:00.000000 UTC,65.539849624060200,TRUE,0.81250000000000000,五上［異分母分數的比較與加減］,上課時間
class_38,市立芭里國小,桃園市,6,1,1,26,2025-02-19 01:04:00.000000 UTC,2025-02-19 01:04:00.000000 UTC,90.137391304347900,FALSE,0.84615384615384600,五上［異分母分數的比較與加減］,上課時間
class_39,楊梅國中秀才分校,桃園市,5,1,1,26,2025-03-17 03:41:00.000000 UTC,2025-03-17 03:41:00.000000 UTC,,FALSE,0.0,五上［異分母分數的比較與加減］,無資料
class_40,市立清水國小,新北市,6,1,1,26,2025-03-25 23:45:00.000000 UTC,2025-03-25 23:45:00.000000 UTC,49.568037974683600,FALSE,0.96153846153846100,五上［異分母分數的比較與加減］,早自習
class_41,縣立馬賽國小,宜蘭縣,4,2,2,26,2025-03-31 01:27:00.000000 UTC,2025-03-31 01:52:00.000000 UTC,41.146103896103900,FALSE,0.28846153846153800,四上［同分母分數的比較］&四上［同分母分數加減］,上課時間
class_42,縣立馬賽國小,宜蘭縣,4,2,2,26,2025-04-02 03:19:00.000000 UTC,2025-04-02 03:20:00.000000 UTC,33.761092150170700,FALSE,0.51923076923076900,四上［同分母分數的比較］&四上［同分母分數加減］,上課時間
class_43,市立中港國小,新北市,5,1,1,26,2025-04-15 04:36:00.000000 UTC,2025-04-30 05:30:00.000000 UTC,23.339285714285700,TRUE,0.11538461538461500,四上［同分母分數加減］,上課時間
class_44,市立陳平國小,臺中市,4,2,2,26,2025-05-15 07:18:00.000000 UTC,2025-05-15 07:19:00.000000 UTC,38.818181818181800,FALSE,0.076923076923076900,四上［同分母分數的比較］&四上［同分母分數加減］,上課時間
class_45,縣立新生國小,臺東縣,,1,1,26,2025-06-04 23:57:00.000000 UTC,2025-06-04 23:57:00.000000 UTC,37.687500000000000,FALSE,0.73076923076923100,三上［認識分數],上課時間
class_46,縣立信義國小,苗栗縣,4,2,2,25,2025-02-16 05:31:00.000000 UTC,2025-02-19 02:48:00.000000 UTC,39.329084588644200,TRUE,0.94000000000000000,四上［同分母分數的比較］&四上［同分母分數加減］,放學後
class_47,縣立恆春國小,屏東縣,3,1,1,25,2025-02-17 06:11:00.000000 UTC,2025-02-17 06:11:00.000000 UTC,24.341911764705900,FALSE,0.8,三上［認識分數],上課時間
class_48,楊梅國中秀才分校,桃園市,,1,1,25,2025-02-17 23:13:00.000000 UTC,2025-02-17 23:13:00.000000 UTC,27.987394957983200,FALSE,0.72000000000000000,三上［認識分數],早自習
class_49,楊梅國中秀才分校,桃園市,5,1,1,25,2025-02-21 00:29:00.000000 UTC,2025-02-21 00:52:00.000000 UTC,48.140186915887800,FALSE,0.92000000000000000,五上［異分母分數的比較與加減］,上課時間
class_50,楊梅國中秀才分校,桃園市,3,2,1,25,2025-03-13 14:49:00.000000 UTC,2025-04-01 02:25:00.000000 UTC,17.810477657935300,TRUE,0.98000000000000000,三上［認識分數],上課時間
class_51,縣立馬賽國小,宜蘭縣,4,2,2,25,2025-03-31 01:09:00.000000 UTC,2025-03-31 01:10:00.000000 UTC,46.819875776397500,FALSE,0.26,四上［同分母分數的比較］&四上［同分母分數加減］,上課時間
class_52,縣立馬賽國小,宜蘭縣,4,2,2,25,2025-04-02 03:05:00.000000 UTC,2025-04-02 03:06:00.000000 UTC,22.776041666666700,FALSE,0.24000000000000000,四上［同分母分數的比較］&四上［同分母分數加減］,上課時間
class_53,,臺中市,,1,1,25,2025-05-16 10:57:00.000000 UTC,2025-05-16 10:57:00.000000 UTC,,FALSE,0.0,四上［同分母分數加減］,無資料
class_54,縣立新湖國小,新竹縣,,1,1,25,2025-05-20 01:57:00.000000 UTC,2025-05-20 01:57:00.000000 UTC,,FALSE,0.0,四上［同分母分數的比較］,無資料
class_55,市立油廠國小,高雄市,,1,1,25,2025-05-20 03:39:00.000000 UTC,2025-05-20 03:39:00.000000 UTC,31.738831615120300,FALSE,0.24,四上［同分母分數加減］,上課時間
class_56,,臺南市,3,1,1,25,2025-05-29 06:23:00.000000 UTC,2025-05-29 06:59:00.000000 UTC,,FALSE,0.0,三上［認識分數],無資料
class_57,縣立溪北國小,屏東縣,3,1,1,24,2025-02-11 11:41:00.000000 UTC,2025-02-11 11:41:00.000000 UTC,19.423076923076900,FALSE,0.20833333333333300,三上［認識分數],上課時間
class_58,縣立新生國小,宜蘭縣,,1,1,24,2025-03-13 02:41:00.000000 UTC,2025-03-13 02:41:00.000000 UTC,44.964028776978400,FALSE,0.58333333333333300,五上［異分母分數的比較與加減］,上課時間
class_59,縣立竹林國小,宜蘭縣,5,2,2,24,2025-03-17 05:08:00.000000 UTC,2025-03-18 05:22:00.000000 UTC,18.215189873417700,FALSE,0.085106382978723400,三上［認識分數]&五上［異分母分數的比較與加減］,上課時間
class_60,縣立新生國小,宜蘭縣,,1,1,24,2025-03-18 03:34:00.000000 UTC,2025-03-18 03:34:00.000000 UTC,30.032258064516100,FALSE,0.041666666666666700,四上［同分母分數的比較］,放學後
class_61,楊梅國中秀才分校,桃園市,,2,1,24,2025-03-21 01:54:00.000000 UTC,2025-04-02 02:47:00.000000 UTC,64.956416464891100,TRUE,0.95833333333333300,五上［異分母分數的比較與加減］,上課時間
class_62,楊梅國中秀才分校,桃園市,5,1,1,24,2025-04-07 07:43:00.000000 UTC,2025-04-07 07:43:00.000000 UTC,82.14457831325300,FALSE,0.79166666666666700,五上［異分母分數的比較與加減］,上課時間
class_63,楊梅國中秀才分校,桃園市,3,1,1,24,2025-04-16 06:13:00.000000 UTC,2025-04-16 06:13:00.000000 UTC,,FALSE,0.0,三上［認識分數],無資料
class_64,市立舊莊國小,臺北市,,1,1,24,2025-05-07 00:49:00.000000 UTC,2025-05-07 00:49:00.000000 UTC,,FALSE,0.0,四上［同分母分數加減］,無資料
class_65,市立樹德國小,臺中市,3,1,1,24,2025-05-30 00:40:00.000000 UTC,2025-05-30 00:40:00.000000 UTC,16.543478260869600,FALSE,0.79166666666666700,三上［認識分數],上課時間
class_66,市立新店國小,新北市,6,1,1,23,2025-02-08 13:23:00.000000 UTC,2025-02-08 13:23:00.000000 UTC,52.7009009009009,FALSE,0.95652173913043500,五上［異分母分數的比較與加減］,上課時間
class_67,縣立南新國小,嘉義縣,5,1,1,23,2025-02-19 05:11:00.000000 UTC,2025-02-19 05:11:00.000000 UTC,87.5174537987679,FALSE,0.782608695652174,五上［異分母分數的比較與加減］,上課時間
class_68,縣立力行國小,宜蘭縣,,1,1,23,2025-03-12 03:10:00.000000 UTC,2025-03-12 03:10:00.000000 UTC,25.361702127659600,FALSE,0.2608695652173910,三上［認識分數],上課時間
class_69,縣立新生國小,宜蘭縣,4,1,1,23,2025-03-17 06:30:00.000000 UTC,2025-03-17 06:30:00.000000 UTC,38.665198237885500,FALSE,1.0,四上［同分母分數的比較］,上課時間
class_70,市立仕隆國小,高雄市,3,1,1,23,2025-03-21 00:20:00.000000 UTC,2025-03-21 00:20:00.000000 UTC,29.88702928870290,FALSE,0.47826086956521700,四上［同分母分數加減］,早自習
class_71,市立培英國中,新竹市,,1,1,22,2025-02-26 06:06:00.000000 UTC,2025-02-26 06:12:00.000000 UTC,11.240259740259700,FALSE,0.90909090909090900,三上［認識分數],上課時間
class_72,縣立新生國小,宜蘭縣,,1,1,22,2025-03-13 03:29:00.000000 UTC,2025-03-13 03:29:00.000000 UTC,51.174647887324000,FALSE,0.45454545454545500,五上［異分母分數的比較與加減］,上課時間
class_73,縣立壯圍國小,宜蘭縣,3,1,1,22,2025-05-01 00:54:00.000000 UTC,2025-05-01 00:54:00.000000 UTC,25.555555555555500,FALSE,0.81818181818181800,三上［認識分數],上課時間
class_74,市立旗津國小,高雄市,4,1,1,22,2025-05-22 23:53:00.000000 UTC,2025-05-22 23:53:00.000000 UTC,47.285714285714300,FALSE,0.63636363636363600,四上［同分母分數的比較］,早自習
class_75,縣立竹崎國小,嘉義縣,3,1,1,21,2025-03-06 03:42:00.000000 UTC,2025-03-06 03:42:00.000000 UTC,25.234482758620700,FALSE,0.95238095238095200,三上［認識分數],上課時間
class_76,縣立民和國中,南投縣,7,3,3,21,2025-05-21 07:41:00.000000 UTC,2025-05-21 07:42:00.000000 UTC,35.748976807639800,FALSE,0.69841269841269800,三上［認識分數]&四上［同分母分數的比較］&四上［同分母分數加減］,課後輔導
class_77,市立白河國小,臺南市,,1,1,20,2025-02-04 00:54:00.000000 UTC,2025-02-04 00:54:00.000000 UTC,,FALSE,0.0,三上［認識分數],無資料
class_78,縣立柳林國小,嘉義縣,3,1,1,20,2025-02-11 01:52:00.000000 UTC,2025-02-11 01:59:00.000000 UTC,28.077192982456100,FALSE,0.85000000000000000,三上［認識分數],上課時間
class_79,縣立成功國小,臺東縣,4,2,2,20,2025-02-19 08:11:00.000000 UTC,2025-02-19 08:12:00.000000 UTC,34.648437500000000,FALSE,0.80000000000000000,四上［同分母分數的比較］&四上［同分母分數加減］,上課時間
class_80,楊梅國中秀才分校,桃園市,5,1,1,20,2025-02-24 05:40:00.000000 UTC,2025-02-24 05:40:00.000000 UTC,30.220779220779200,FALSE,0.3,五上［異分母分數的比較與加減］,上課時間
class_81,市立岸裡國小,臺中市,5,1,1,20,2025-04-15 11:50:00.000000 UTC,2025-04-15 11:50:00.000000 UTC,8.4444444444444400,FALSE,0.05,五上［異分母分數的比較與加減］,放學後
class_82,縣立萬來國小,彰化縣,,1,1,20,2025-06-12 01:11:00.000000 UTC,2025-06-12 02:02:00.000000 UTC,37.244635193133100,FALSE,0.85000000000000000,三上［認識分數],上課時間
class_83,縣立萬來國小,彰化縣,,1,1,20,2025-06-12 01:13:00.000000 UTC,2025-06-12 03:37:00.000000 UTC,21.071111111111100,FALSE,0.85000000000000000,三上［認識分數],上課時間
class_84,市立西港國小,臺南市,,2,2,19,2025-02-10 07:42:00.000000 UTC,2025-02-10 08:14:00.000000 UTC,45.236883942766200,FALSE,0.631578947368421,四上［同分母分數加減］&五上［異分母分數的比較與加減］,課後輔導
class_85,市立烏來國(中)小,新北市,5,1,1,19,2025-02-20 07:59:00.000000 UTC,2025-02-20 23:50:00.000000 UTC,58.602739726027400,FALSE,0.94736842105263100,五上［異分母分數的比較與加減］,早自習
class_86,縣立利澤國小,宜蘭縣,5,2,2,19,2025-02-27 00:15:00.000000 UTC,2025-02-27 07:45:00.000000 UTC,24.437945791726100,FALSE,0.92105263157894700,四上［同分母分數的比較］&四上［同分母分數加減］,早自習
class_87,縣立五結國小,宜蘭縣,4,2,2,19,2025-03-14 07:40:00.000000 UTC,2025-03-20 05:26:00.000000 UTC,47.733722871452500,TRUE,1.0,四上［同分母分數的比較］&四上［同分母分數加減］,上課時間
class_88,,屏東縣,3,1,1,19,2025-03-25 02:03:00.000000 UTC,2025-06-06 03:33:00.000000 UTC,24.614525139664800,TRUE,0.94736842105263100,三上［認識分數],上課時間
class_89,縣立古亭國小,宜蘭縣,4,1,1,19,2025-04-30 03:33:00.000000 UTC,2025-04-30 03:33:00.000000 UTC,16.05,FALSE,0.052631578947368400,四上［同分母分數的比較］,上課時間
class_90,縣立萬來國小,彰化縣,,1,1,19,2025-06-12 01:13:00.000000 UTC,2025-06-12 01:13:00.000000 UTC,24.060070671378100,FALSE,0.94736842105263100,三上［認識分數],上課時間
class_91,縣立成功國小,臺東縣,,3,3,18,2025-03-10 08:10:00.000000 UTC,2025-03-10 08:12:00.000000 UTC,41.571739130434800,FALSE,0.46296296296296300,三上［認識分數]&四上［同分母分數的比較］&四上［同分母分數加減］,上課時間
class_92,,花蓮縣,,1,1,17,2025-02-13 06:38:00.000000 UTC,2025-02-13 06:38:00.000000 UTC,10.52,FALSE,0.058823529411764700,五上［異分母分數的比較與加減］,課後輔導
class_93,楊梅國中秀才分校,桃園市,,1,1,17,2025-02-20 03:45:00.000000 UTC,2025-02-20 03:45:00.000000 UTC,48.59722222222230,FALSE,0.82352941176470600,三上［認識分數],早自習
class_94,縣立武淵國小,宜蘭縣,5,1,1,17,2025-02-27 00:32:00.000000 UTC,2025-02-27 00:32:00.000000 UTC,60.080200501253100,FALSE,0.94117647058823500,五上［異分母分數的比較與加減］,上課時間
